sku,brand,category_file,product_name,source_page,source_image_url,local_url,bytes,sha1
MDF-RS-4229,Modern Flames,electric-fireplaces-scraped.json,Modern Flames 42 Inch Redstone Electric Fireplace,https://www.efireplacestore.com/mdf-rs-4229.html,https://www.efireplacestore.com/images/modern-flames-42-inch-redstone-electric-fireplace-37_322808.webp,/products-upgraded/electric-fireplaces/mdf-rs-4229.webp,29560,3c6f39d1381a0bf0d755cb94e52f8a92827bca0e
MDF-CEF-50B,Modern Flames,electric-fireplaces-scraped.json,Modern Flames 50 Inch Challenger Built-In or Wall-Mount Linear Electric Fireplace,https://www.efireplacestore.com/mdf-cef-50b.html,https://www.efireplacestore.com/images/modern-flames-60-inch-challenger-recessed-electric-wall-mounted-fireplace-21_399158.webp,/products-upgraded/electric-fireplaces/mdf-cef-50b.webp,87646,a600cca7ed3f97799b5b809d5dd1d9d123f90804
SPF-SF-SCN55,Simplifire,electric-fireplaces-scraped.json,Simplifire 55 Inch Scion Linear Electric Fireplace,https://www.efireplacestore.com/spf-sf-scn55.html,https://www.efireplacestore.com/images/scion-1755036260_4003_636252.webp,/products-upgraded/electric-fireplaces/spf-sf-scn55.webp,61266,2b9a87a09d73ec3798de1717704af2f07b8029db
DIM-CDFI500-PRO,Dimplex,electric-fireplaces-scraped.json,Dimplex 20 Inch Opti-Myst Pro 500 Water Vapor Fireplace Cassette,https://www.efireplacestore.com/dim-cdfi500-pro.html,https://www.efireplacestore.com/images/dimplex-20-opti-myst-pro-500-electric-fireplace-insert-230-w-and-120-v-73_192949.webp,/products-upgraded/electric-fireplaces/dim-cdfi500-pro.webp,35296,0ab819be046d5475d021930317ff23d647d1e41f
DIM-XHD26L,Dimplex,electric-fireplaces-scraped.json,Dimplex 26 Inch Multi-Fire XHD Electric Fireplace Firebox with Log Set,https://www.efireplacestore.com/dim-xhd26l.html,https://www.efireplacestore.com/images/dimplex-26-inch-multi-fire-xhd-linear-firebox-with-log-set-31_192960.webp,/products-upgraded/electric-fireplaces/dim-xhd26l.webp,35734,d31ff635b148387ec8b5a9bf6dc640b6606bafab
DPX-BF45DXP,Dimplex,electric-fireplaces-scraped.json,Dimplex 45 Inch Deluxe Built-In Electric Fireplace,https://www.efireplacestore.com/dpx-bf45dxp.html,https://www.efireplacestore.com/images/dimplex-bf45dxp-deluxe-45-built-in-electric-purifire-air-treatment-firebox-72_193011.webp,/products-upgraded/electric-fireplaces/dpx-bf45dxp.webp,72718,791e1420d69b5b8a84770d11a024cc38edb63adb
DPX-BF39DXP,Dimplex,electric-fireplaces-scraped.json,Dimplex 39 Inch Deluxe Built-In Electric Fireplace Firebox,https://www.efireplacestore.com/dpx-bf39dxp.html,https://www.efireplacestore.com/images/dimplex-bf39dxp-deluxe-39-built-in-electric-purifire-air-treatment-insert-71_193009.webp,/products-upgraded/electric-fireplaces/dpx-bf39dxp.webp,134278,6ebe18fa561343139bd62afd961fa892ecd7cefa
DIM-RBF30,Dimplex,electric-fireplaces-scraped.json,Dimplex 30 Inch Revillusion Built-In Electric Fireplace Firebox with Front Glass and Plug,https://www.efireplacestore.com/dim-rbf30.html,https://www.efireplacestore.com/images/dimplex-30-revillusion-electric-firebox-package-102_399006.webp,/products-upgraded/electric-fireplaces/dim-rbf30.webp,118576,38b9d5e0db5564da3f506687db0696be41741750
SPF-SF-ALLP50-BK,Simplifire,electric-fireplaces-scraped.json,Simplifire 50 Inch Allusion Platinum Recessed Linear Electric Fireplace,https://www.efireplacestore.com/spf-sf-allp50-bk.html,https://www.efireplacestore.com/images/simplifire-50-inch-allusion-platinum-recessed-linear-electric-fireplace-37_214778.webp,/products-upgraded/electric-fireplaces/spf-sf-allp50-bk.webp,67948,4b08bbd83787504fb307591a8ca0b44a95308261
SPF-SF-ALLS50,Simplifire,electric-fireplaces-scraped.json,Simplifire 50 Inch Allusion Slim Built-In or Wall Mount Linear Electric Fireplace,https://www.efireplacestore.com/spf-sf-alls50.html,https://www.efireplacestore.com/images/slim_40-1738249195_4077_607073.webp,/products-upgraded/electric-fireplaces/spf-sf-alls50.webp,71092,c046cf7ab1f3fd966c69d08e3465c606350c5e6f
DIM-RBF36,Dimplex,electric-fireplaces-scraped.json,Dimplex 36 Inch Revillusion Built-In Electric Fireplace Firebox with Front Glass and Plug,https://www.efireplacestore.com/dim-rbf36.html,https://www.efireplacestore.com/images/dimplex-36-revillusion-landscape-electric-firebox-package-85_192978.webp,/products-upgraded/electric-fireplaces/dim-rbf36.webp,86494,c788f34648a74d378a8c40e3d98281630c448684
