sku,brand,model_guess,product_name,category_file,manufacturer_or_authorized_source_url,image_url_if_direct,confidence,usage_notes,notes
DPX-BF39DXP,Dimplex,BF39DXP,Dimplex 39 Inch Deluxe Built-In Electric Fireplace Firebox,electric-fireplaces-scraped.json,https://www.efireplacestore.com/dpx-bf39dxp.html,https://www.efireplacestore.com/images/Icon_Image/dimplex-bf39dxp-deluxe-39-built-in-electric-purifire-air-treatment-insert-71.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
MDF-CEF-50B,Modern Flames,CEF-50B,Modern Flames 50 Inch Challenger Built-In or Wall-Mount Linear Electric Fireplace,electric-fireplaces-scraped.json,https://www.efireplacestore.com/mdf-cef-50b.html,https://www.efireplacestore.com/images/Icon_Image/modern-flames-60-inch-challenger-recessed-electric-wall-mounted-fireplace-21.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
DIM-CDFI500-PRO,Dimplex,CDFI500-PRO,Dimplex 20 Inch Opti-Myst Pro 500 Water Vapor Fireplace Cassette,electric-fireplaces-scraped.json,https://www.efireplacestore.com/dim-cdfi500-pro.html,https://www.efireplacestore.com/images/Icon_Image/dimplex-20-opti-myst-pro-500-electric-fireplace-insert-230-w-and-120-v-73.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
DIM-XHD26L,Dimplex,XHD26L,Dimplex 26 Inch Multi-Fire XHD Electric Fireplace Firebox with Log Set,electric-fireplaces-scraped.json,https://www.efireplacestore.com/dim-xhd26l.html,https://www.efireplacestore.com/images/Icon_Image/dimplex-26-inch-multi-fire-xhd-linear-firebox-with-log-set-31.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
DPX-BF45DXP,Dimplex,BF45DXP,Dimplex 45 Inch Deluxe Built-In Electric Fireplace,electric-fireplaces-scraped.json,https://www.efireplacestore.com/dpx-bf45dxp.html,https://www.efireplacestore.com/images/Icon_Image/dimplex-bf45dxp-deluxe-45-built-in-electric-purifire-air-treatment-firebox-72.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
SPF-SF-SCN55,Simplifire,SF-SCN55,Simplifire 55 Inch Scion Linear Electric Fireplace,electric-fireplaces-scraped.json,https://www.efireplacestore.com/spf-sf-scn55.html,https://www.efireplacestore.com/images/Icon_Image/scion-1755036260_4003.png,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
DIM-RBF30,Dimplex,RBF30,Dimplex 30 Inch Revillusion Built-In Electric Fireplace Firebox with Front Glass and Plug,electric-fireplaces-scraped.json,https://www.efireplacestore.com/dim-rbf30.html,https://www.efireplacestore.com/images/Icon_Image/dimplex-30-revillusion-electric-firebox-package-102.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
MDF-RS-4229,Modern Flames,RS-4229,Modern Flames 42 Inch Redstone Electric Fireplace,electric-fireplaces-scraped.json,https://www.efireplacestore.com/mdf-rs-4229.html,https://www.efireplacestore.com/images/Icon_Image/modern-flames-42-inch-redstone-electric-fireplace-37.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
SPF-SF-ALLP50-BK,Simplifire,SF-ALLP50-BK,Simplifire 50 Inch Allusion Platinum Recessed Linear Electric Fireplace,electric-fireplaces-scraped.json,https://www.efireplacestore.com/spf-sf-allp50-bk.html,https://www.efireplacestore.com/images/Icon_Image/simplifire-50-inch-allusion-platinum-recessed-linear-electric-fireplace-37.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
SPF-SF-ALLS50,Simplifire,SF-ALLS50,Simplifire 50 Inch Allusion Slim Built-In or Wall Mount Linear Electric Fireplace,electric-fireplaces-scraped.json,https://www.efireplacestore.com/spf-sf-alls50.html,https://www.efireplacestore.com/images/Icon_Image/slim_40-1738249195_4077.jpg,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
DPX-BF33DXP,Dimplex,BF33DXP,Dimplex 33 Inch Deluxe Built-In Electric Fireplace Firebox,electric-fireplaces-scraped.json,https://www.efireplacestore.com/dpx-bf33dxp.html,https://www.efireplacestore.com/images/Icon_Image/dimplex-bf33dxp-direct-wire-33-electric-purifire-air-treatment-insert-71.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
DIM-RBF36,Dimplex,RBF36,Dimplex 36 Inch Revillusion Built-In Electric Fireplace Firebox with Front Glass and Plug,electric-fireplaces-scraped.json,https://www.efireplacestore.com/dim-rbf36.html,https://www.efireplacestore.com/images/Icon_Image/dimplex-36-revillusion-landscape-electric-firebox-package-85.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
DIM-XHD28L,Dimplex,XHD28L,Dimplex 28 Inch Multi-Fire XHD Electric Fireplace Firebox,electric-fireplaces-scraped.json,https://www.efireplacestore.com/dim-xhd28l.html,https://www.efireplacestore.com/images/Icon_Image/dimplex-28-inch-multi-fire-xhd-electric-firebox-27.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
DIM-XHD23G,Dimplex,XHD23G,Dimplex 23 Inch Multi-Fire XHD Electric Fireplace Firebox with Acrylic Media,electric-fireplaces-scraped.json,https://www.efireplacestore.com/dim-xhd23g.html,https://www.efireplacestore.com/images/Icon_Image/dimplex-23-inch-multi-fire-xhd-linear-firebox-with-acrylic-media-31.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
DIM-RBF36P,Dimplex,RBF36P,Dimplex 36 Inch Revillusion Portrait Electric Fireplace Firebox with Front Glass and Plug,electric-fireplaces-scraped.json,https://www.efireplacestore.com/dim-rbf36p.html,https://www.efireplacestore.com/images/Icon_Image/dimplex-36-revillusion-portrait-electric-firebox-package-97.gif,high,Authorized dealer product page (eFireplaceStore); verify resale image reuse/license before replacing site assets.,Product page matched SKU/name; direct image from og/twitter metadata.
