sku,brand,model_guess,product_name,category_file,manufacturer_or_authorized_source_url,image_url_if_direct,confidence,usage_notes,notes
MAJ-QUARTZ32IFTL,Majestic,QUARTZ32IFTL,Majestic 32 Inch Quartz Top/Rear Direct Vent Gas Fireplace with IntelliFire Touch Ignition,gas-fireplaces-scraped.json,https://www.majesticproducts.com/fireplaces/gas/quartz-series-direct-vent-gas-fireplace,https://hearthnhome.getbynder.com/m/3937ee27caf31518/webimage-Quartz-Series-Product-Video.png,high,Manufacturer product page/media asset candidate; verify image usage rights/permissions before reuse.,Mapped by SKU/model family to Majestic official product page; direct image is Hearth & Home/Bynder media asset from that page.
MAJ-QUARTZ42IFTL,Majestic,QUARTZ42IFTL,Majestic 42 Inch Quartz Top/Rear Direct Vent Gas Fireplace with IntelliFire Touch Ignition,gas-fireplaces-scraped.json,https://www.majesticproducts.com/fireplaces/gas/quartz-series-direct-vent-gas-fireplace,https://hearthnhome.getbynder.com/m/3937ee27caf31518/webimage-Quartz-Series-Product-Video.png,high,Manufacturer product page/media asset candidate; verify image usage rights/permissions before reuse.,Mapped by SKU/model family to Majestic official product page; direct image is Hearth & Home/Bynder media asset from that page.
MAJ-QUARTZ36IFTL,Majestic,QUARTZ36IFTL,Majestic 36 Inch Quartz Top/Rear Direct Vent Gas Fireplace with IntelliFire Touch Ignition,gas-fireplaces-scraped.json,https://www.majesticproducts.com/fireplaces/gas/quartz-series-direct-vent-gas-fireplace,https://hearthnhome.getbynder.com/m/3937ee27caf31518/webimage-Quartz-Series-Product-Video.png,high,Manufacturer product page/media asset candidate; verify image usage rights/permissions before reuse.,Mapped by SKU/model family to Majestic official product page; direct image is Hearth & Home/Bynder media asset from that page.
MAJ-QUARTZPLA36IL,Majestic,QUARTZPLA36IL,Majestic Quartz 36 Inch Quartz Platinum Top/Rear Direct Vent Gas Fireplace with IntelliFire Touch,gas-fireplaces-scraped.json,https://www.majesticproducts.com/fireplaces/gas/quartz-series-direct-vent-gas-fireplace,https://hearthnhome.getbynder.com/m/3937ee27caf31518/webimage-Quartz-Series-Product-Video.png,high,Manufacturer product page/media asset candidate; verify image usage rights/permissions before reuse.,Mapped by SKU/model family to Majestic official product page; direct image is Hearth & Home/Bynder media asset from that page.
NPL-BLP42NTE,Napoleon,BLP42NTE,Napoleon 42 Inch Ascent Premium Direct Vent Linear Gas Fireplace,gas-fireplaces-scraped.json,https://www.efireplacestore.com/npl-blp42nte.html,https://www.efireplacestore.com/images/Icon_Image/napoleon-42-inch-ascent-premium-direct-vent-linear-gas-fireplace-1.gif,high,Authorized dealer product page candidate; verify resale image-license/permissions before reuse. Prefer manufacturer page if direct media license is required.,Direct image parsed from product page og:image/JSON-LD.
NPL-B30NTRE,Napoleon,B30NTRE,Napoleon B30 Ascent Builder Series 30 Inch Direct Vent Fireplace - Electronic Ignition,gas-fireplaces-scraped.json,https://www.efireplacestore.com/npl-b30ntre.html,https://www.efireplacestore.com/images/Icon_Image/napoleon-b30-ascent-builder-series-30-direct-vent-fireplace-electronic-ignition-123.gif,high,Authorized dealer product page candidate; verify resale image-license/permissions before reuse. Prefer manufacturer page if direct media license is required.,Direct image parsed from product page og:image/JSON-LD.
MAJ-RBV4842IT,Majestic,RBV4842IT,Majestic 42 Inch Reveal Open Hearth B-Vent Gas Fireplace,gas-fireplaces-scraped.json,https://www.majesticproducts.com/fireplaces/gas/reveal-b-vent-gas-fireplace,https://hearthnhome.getbynder.com/m/3a7172c57b6e2711/webimage-32_HHT_Reveal_NatGreyTrad_Room.png,high,Manufacturer product page/media asset candidate; verify image usage rights/permissions before reuse.,Mapped by SKU/model family to Majestic official product page; direct image is Hearth & Home/Bynder media asset from that page.
NPL-B46NTRE,Napoleon,B46NTRE,Napoleon B46 Ascent Builder Series 46 Inch Direct Vent Fireplace - Electronic Ignition,gas-fireplaces-scraped.json,https://www.efireplacestore.com/npl-b46ntre.html,https://www.efireplacestore.com/images/Icon_Image/napoleon-b46-ascent-builder-series-46-direct-vent-fireplace-electronic-ignition-138.gif,high,Authorized dealer product page candidate; verify resale image-license/permissions before reuse. Prefer manufacturer page if direct media license is required.,Direct image parsed from product page og:image/JSON-LD.
NPL-B46NTR,Napoleon,B46NTR,Napoleon B46 Ascent Builder Series 46 Inch Direct Vent Fireplace - Millivolt,gas-fireplaces-scraped.json,https://www.efireplacestore.com/npl-b46ntr.html,https://www.efireplacestore.com/images/Icon_Image/napoleon-b46-ascent-builder-series-46-direct-vent-fireplace-electronic-ignition-138.gif,high,Authorized dealer product page candidate; verify resale image-license/permissions before reuse. Prefer manufacturer page if direct media license is required.,Direct image parsed from product page og:image/JSON-LD.
NPL-BL46NTE,Napoleon,BL46NTE,Napoleon 46 Inch Ascent Linear Direct Vent Natural Gas Fireplace,gas-fireplaces-scraped.json,https://www.efireplacestore.com/npl-bl46nte.html,https://www.efireplacestore.com/images/Icon_Image/napoleon-ascent-linear-series-46-direct-vent-natural-gas-fireplace-electronic-ignition-47.gif,high,Authorized dealer product page candidate; verify resale image-license/permissions before reuse. Prefer manufacturer page if direct media license is required.,Direct image parsed from product page og:image/JSON-LD.
