sku,brand,model_guess,product_name,category_file,manufacturer_or_authorized_source_url,image_url_if_direct,confidence,usage_notes,notes
CUI-DVD36FP30N,Empire,DVD36FP30N,Empire 36 Inch Tahoe Deluxe Direct Vent Fireplace - Millivolt,gas-fireplaces-scraped.json,https://www.efireplacestore.com/cui-dvd36fp30n.html,,high,Exact-SKU authorized retailer product page candidate; use page/gallery image only after confirming reuse rights or supplier/manufacturer permission. No local files replaced.,"Source URL is the exact product page from the input catalog (eFireplaceStore/Aaron-linked retail source), chosen over random image/scraper results. Direct image URL left blank pending licensed asset extraction."
SUP-DRL2055TEN,Superior,DRL2055TEN,Superior 55 Inch DRL2000 Direct Vent Linear Gas Fireplace - IPI,gas-fireplaces-scraped.json,https://www.efireplacestore.com/sup-drl2055ten.html,,high,Exact-SKU authorized retailer product page candidate; use page/gallery image only after confirming reuse rights or supplier/manufacturer permission. No local files replaced.,"Source URL is the exact product page from the input catalog (eFireplaceStore/Aaron-linked retail source), chosen over random image/scraper results. Direct image URL left blank pending licensed asset extraction."
SUP-DRL2045TEN,Superior,DRL2045TEN,Superior 45 Inch DRL2000 Series Contemporary Direct Vent Linear Fireplace,gas-fireplaces-scraped.json,https://www.efireplacestore.com/sup-drl2045ten.html,,high,Exact-SKU authorized retailer product page candidate; use page/gallery image only after confirming reuse rights or supplier/manufacturer permission. No local files replaced.,"Source URL is the exact product page from the input catalog (eFireplaceStore/Aaron-linked retail source), chosen over random image/scraper results. Direct image URL left blank pending licensed asset extraction."
EMP-DVD36FP71N,Empire,DVD36FP71N,Empire 36 Inch Deluxe Tahoe Direct Vent Fireplace with Blower - Intermittent Pilot,gas-fireplaces-scraped.json,https://www.efireplacestore.com/emp-dvd36fp71n.html,,high,Exact-SKU authorized retailer product page candidate; use page/gallery image only after confirming reuse rights or supplier/manufacturer permission. No local files replaced.,"Source URL is the exact product page from the input catalog (eFireplaceStore/Aaron-linked retail source), chosen over random image/scraper results. Direct image URL left blank pending licensed asset extraction."
CUI-DVD42FP30N,Empire,DVD42FP30N,Empire 42 Inch Tahoe Deluxe Direct Vent Fireplace - Millivolt,gas-fireplaces-scraped.json,https://www.efireplacestore.com/cui-dvd42fp30n.html,,high,Exact-SKU authorized retailer product page candidate; use page/gallery image only after confirming reuse rights or supplier/manufacturer permission. No local files replaced.,"Source URL is the exact product page from the input catalog (eFireplaceStore/Aaron-linked retail source), chosen over random image/scraper results. Direct image URL left blank pending licensed asset extraction."
CUI-DVD32FP30N,Empire,DVD32FP30N,Empire 32 Inch Tahoe Deluxe Direct Vent Fireplace - Millivolt,gas-fireplaces-scraped.json,https://www.efireplacestore.com/cui-dvd32fp30n.html,,high,Exact-SKU authorized retailer product page candidate; use page/gallery image only after confirming reuse rights or supplier/manufacturer permission. No local files replaced.,"Source URL is the exact product page from the input catalog (eFireplaceStore/Aaron-linked retail source), chosen over random image/scraper results. Direct image URL left blank pending licensed asset extraction."
CUI-VRT3542WS,Superior,VRT3542WS,Superior 42 Inch VRT3500 Series Vent Free Gas Fireplace Firebox,gas-fireplaces-scraped.json,https://www.efireplacestore.com/cui-vrt3542ws.html,,high,Exact-SKU authorized retailer product page candidate; use page/gallery image only after confirming reuse rights or supplier/manufacturer permission. No local files replaced.,"Source URL is the exact product page from the input catalog (eFireplaceStore/Aaron-linked retail source), chosen over random image/scraper results. Direct image URL left blank pending licensed asset extraction."
CUI-DVD32FP31N,Empire,DVD32FP31N,Empire 32 Inch Tahoe Deluxe Direct Vent Fireplace with Blower - Millivolt,gas-fireplaces-scraped.json,https://www.efireplacestore.com/cui-dvd32fp31n.html,,high,Exact-SKU authorized retailer product page candidate; use page/gallery image only after confirming reuse rights or supplier/manufacturer permission. No local files replaced.,"Source URL is the exact product page from the input catalog (eFireplaceStore/Aaron-linked retail source), chosen over random image/scraper results. Direct image URL left blank pending licensed asset extraction."
CUI-DVD48FP30N,Empire,DVD48FP30N,Empire 48 Inch Tahoe Deluxe Direct Vent Fireplace - Millivolt,gas-fireplaces-scraped.json,https://www.efireplacestore.com/cui-dvd48fp30n.html,,high,Exact-SKU authorized retailer product page candidate; use page/gallery image only after confirming reuse rights or supplier/manufacturer permission. No local files replaced.,"Source URL is the exact product page from the input catalog (eFireplaceStore/Aaron-linked retail source), chosen over random image/scraper results. Direct image URL left blank pending licensed asset extraction."
CUI-VFD42FB0F,Empire,VFD42FB0F,Empire 42 Inch Breckenridge Deluxe Vent Free Flush Gas Fireplace Firebox,gas-fireplaces-scraped.json,https://www.efireplacestore.com/cui-vfd42fb0f.html,,high,Exact-SKU authorized retailer product page candidate; use page/gallery image only after confirming reuse rights or supplier/manufacturer permission. No local files replaced.,"Source URL is the exact product page from the input catalog (eFireplaceStore/Aaron-linked retail source), chosen over random image/scraper results. Direct image URL left blank pending licensed asset extraction."
