sku,status,imageUrl,sourceImageUrl,reason
820-06,updated,/products/parts/820-06.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/7396/35195/820-48__82685.1563546783.jpg?c=2,
W585-0186,no-real-photo,,,no candidate product image found
PL65537,no-real-photo,,,no candidate product image found
LDAC,updated,/products/parts/ldac.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/40285/53315/SFKM__24265.1630706910.jpg?c=2,
W263-0107,updated,/products/parts/w263-0107.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/20029/34703/W263-0116-SER__48750.1562884713.jpg?c=2,
W300-0073,updated,/products/parts/w300-0073.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/13374/25833/W300-0086__86282.1530137154.jpg?c=2,
AC01321,updated,/products/parts/ac01321.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/11918/18106/SE15099-2__12364.1493958687.jpg?c=2,
J6167,updated,/products/parts/j6167.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/10330/16587/J3784-2__55001.1493949971.jpg?c=2,
W565-0062,updated,/products/parts/w565-0062.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/13614/19825/W565-0058-2__73530.1493967647.jpg?c=2,
HDF46P,no-real-photo,,,no candidate product image found
25090B,updated,/products/parts/25090b.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/7603/39130/88100__34984.1570224806.jpg?c=2,
30002169A,updated,/products/parts/30002169a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/3346/30699/30002170A-1__39851.1557857305.jpg?c=2,
450-06,updated,/products/parts/450-06.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/4466/57948/450-10__21382.1672352407.jpg?c=2,
H222-SS,updated,/products/parts/h222-ss.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/9889/30838/H222M__42809.1558032226.jpg?c=2,
