file,name,old,new,images
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair Probuilder 36 Clean Face Deluxe","/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacedeluxe.webp","/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacedeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacedeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacedeluxe.webp|/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacedeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacedeluxe-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair Probuilder 36 Clean Face Basic MV","/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicmv.webp","/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicmv-3.webp","/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicmv-3.webp|/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicmv.webp|/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicmv-2.webp|/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicmv-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair Probuilder 36 Clean Face Basic GSB","/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicgsb.webp","/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicgsb-3.webp","/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicgsb-3.webp|/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicgsb.webp|/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicgsb-2.webp|/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicgsb-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 4415 High Output Deluxe","/products-upgraded/gas-fireplaces/fpx-4415highoutputdeluxe.webp","/products-upgraded/gas-fireplaces/fpx-4415highoutputdeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-4415highoutputdeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-4415highoutputdeluxe.webp|/products-upgraded/gas-fireplaces/fpx-4415highoutputdeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-4415highoutputdeluxe-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 6015 High Output Deluxe","/products-upgraded/gas-fireplaces/fpx-6015highoutputdeluxe.webp","/products-upgraded/gas-fireplaces/fpx-6015highoutputdeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-6015highoutputdeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-6015highoutputdeluxe.webp|/products-upgraded/gas-fireplaces/fpx-6015highoutputdeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-6015highoutputdeluxe-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 34 DVL Deluxe Ember Glo","/products-upgraded/gas-fireplaces/fpx-34dvldeluxeemberglo.webp","/products-upgraded/gas-fireplaces/fpx-34dvldeluxeemberglo-3.webp","/products-upgraded/gas-fireplaces/fpx-34dvldeluxeemberglo-3.webp|/products-upgraded/gas-fireplaces/fpx-34dvldeluxeemberglo.webp|/products-upgraded/gas-fireplaces/fpx-34dvldeluxeemberglo-2.webp|/products-upgraded/gas-fireplaces/fpx-34dvldeluxeemberglo-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 864 TV 40 k Deluxe","/products-upgraded/gas-fireplaces/fpx-864tv40kdeluxe.webp","/products-upgraded/gas-fireplaces/fpx-864tv40kdeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-864tv40kdeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-864tv40kdeluxe.webp|/products-upgraded/gas-fireplaces/fpx-864tv40kdeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-864tv40kdeluxe-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 864 Trv 31 k","/products-upgraded/gas-fireplaces/fpx-864trv31k.webp","/products-upgraded/gas-fireplaces/fpx-864trv31k-3.webp","/products-upgraded/gas-fireplaces/fpx-864trv31k-3.webp|/products-upgraded/gas-fireplaces/fpx-864trv31k.webp|/products-upgraded/gas-fireplaces/fpx-864trv31k-2.webp|/products-upgraded/gas-fireplaces/fpx-864trv31k-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 564 Trv 35 k Deluxe","/products-upgraded/gas-fireplaces/fpx-564trv35kdeluxe.webp","/products-upgraded/gas-fireplaces/fpx-564trv35kdeluxe-3.webp","/products-upgraded/gas-fireplaces/fpx-564trv35kdeluxe-3.webp|/products-upgraded/gas-fireplaces/fpx-564trv35kdeluxe.webp|/products-upgraded/gas-fireplaces/fpx-564trv35kdeluxe-2.webp|/products-upgraded/gas-fireplaces/fpx-564trv35kdeluxe-4.webp"
"data/gas-fireplaces-scraped.json","Fireplace Xtrordinair 564 Trv 25 k","/products-upgraded/gas-fireplaces/fpx-564trv25k.webp","/products-upgraded/gas-fireplaces/fpx-564trv25k-3.webp","/products-upgraded/gas-fireplaces/fpx-564trv25k-3.webp|/products-upgraded/gas-fireplaces/fpx-564trv25k.webp|/products-upgraded/gas-fireplaces/fpx-564trv25k-2.webp|/products-upgraded/gas-fireplaces/fpx-564trv25k-4.webp"
