category_file,category,sku,brand,name,slug,current_image_url,product_url
gas-fireplaces-scraped.json,gas-fireplaces,CUI-DVD36FP30N,Empire,Empire 36 Inch Tahoe Deluxe Direct Vent Fireplace - Millivolt,cui-dvd36fp30n,/products/gas-fireplaces/cui-dvd36fp30n-200545f1.webp,https://www.efireplacestore.com/cui-dvd36fp30n.html
gas-fireplaces-scraped.json,gas-fireplaces,SUP-DRL2055TEN,Superior,Superior 55 Inch DRL2000 Direct Vent Linear Gas Fireplace - IPI,sup-drl2055ten,/products/gas-fireplaces/sup-drl2055ten-bce6f567.webp,https://www.efireplacestore.com/sup-drl2055ten.html
gas-fireplaces-scraped.json,gas-fireplaces,SUP-DRL2045TEN,Superior,Superior 45 Inch DRL2000 Series Contemporary Direct Vent Linear Fireplace,sup-drl2045ten,/products/gas-fireplaces/sup-drl2045ten-bce6f567.webp,https://www.efireplacestore.com/sup-drl2045ten.html
gas-fireplaces-scraped.json,gas-fireplaces,MON-BUF42A,Monessen,Monessen 42 Inch Exacta Circulating Clean Face Vent Free Gas Fireplace Firebox,mon-buf42a,/products/gas-fireplaces/mon-buf42a-067f7514.webp,https://www.efireplacestore.com/mon-buf42a.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-DVD36FP71N,Empire,Empire 36 Inch Deluxe Tahoe Direct Vent Fireplace with Blower - Intermittent Pilot,emp-dvd36fp71n,/products/gas-fireplaces/emp-dvd36fp71n-200545f1.webp,https://www.efireplacestore.com/emp-dvd36fp71n.html
gas-fireplaces-scraped.json,gas-fireplaces,MON-BUF36A,Monessen,Monessen 36 Inch Exacta Circulating Clean Face Vent Free Gas Fireplace Firebox,mon-buf36a,/products/gas-fireplaces/mon-buf36a-067f7514.webp,https://www.efireplacestore.com/mon-buf36a.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-DVD42FP30N,Empire,Empire 42 Inch Tahoe Deluxe Direct Vent Fireplace - Millivolt,cui-dvd42fp30n,/products/gas-fireplaces/cui-dvd42fp30n-200545f1.webp,https://www.efireplacestore.com/cui-dvd42fp30n.html
gas-fireplaces-scraped.json,gas-fireplaces,MAJ-QUARTZ32IFTL,Majestic,Majestic 32 Inch Quartz Top/Rear Direct Vent Gas Fireplace with IntelliFire Touch Ignition,maj-quartz32iftl,/products/gas-fireplaces/maj-quartz32iftl-b05f4295.webp,https://www.efireplacestore.com/maj-quartz32iftl.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-DVD32FP30N,Empire,Empire 32 Inch Tahoe Deluxe Direct Vent Fireplace - Millivolt,cui-dvd32fp30n,/products/gas-fireplaces/cui-dvd32fp30n-200545f1.webp,https://www.efireplacestore.com/cui-dvd32fp30n.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-VRT3542WS,Superior,Superior 42 Inch VRT3500 Series Vent Free Gas Fireplace Firebox,cui-vrt3542ws,/products/gas-fireplaces/cui-vrt3542ws-5cf5cb75.webp,https://www.efireplacestore.com/cui-vrt3542ws.html
