sku,status,imageUrl,sourceImageUrl,reason
624042,skipped,,,no-real-photo
30004637A,updated,/products/parts/30004637a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/3618/27861/30004624-1__46743.1537741321.jpg?c=2,real-photo-found
30002174A,updated,/products/parts/30002174a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/3394/56366/30002312__12955.1660851786.jpg?c=2,real-photo-found
W585-0031,skipped,,,no-real-photo
30004132,skipped,,,no-real-photo
PL53095,updated,/products/parts/pl53095.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/2647/59143/IMG_3752__62571.1678981167.jpg?c=2,real-photo-found
PL63866,updated,/products/parts/pl63866.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/2453/38232/21148__55039.1568926041.jpg?c=2,real-photo-found
90000160,error,,,HTTP Error 404: Not Found
W010-0229S,skipped,,,no-real-photo
21083,updated,/products/parts/21083.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/2432/69176/21083-1__62090.1776364606.jpg?c=2,real-photo-found
W750-0214,updated,/products/parts/w750-0214.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13927/35022/W750-0250__40866.1563478071.jpg?c=2,real-photo-found
350VF-200,skipped,,,no-real-photo
OA10600,updated,/products/parts/oa10600.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/10906/67609/OA10230-1__93583.1756148458.jpg?c=2,real-photo-found
EG95-086,updated,/products/parts/eg95-086.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/9293/15195/EG95-087-2__38640.1493944108.jpg?c=2,real-photo-found
W175-0113,updated,/products/parts/w175-0113.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/14092/54386/W175-0043-1__60955.1635171073.jpg?c=2,real-photo-found
GS831C,updated,/products/parts/gs831c.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13054/67934/W135-0209-1__62974.1756407500.jpg?c=2,real-photo-found
21387,updated,/products/parts/21387.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/2461/63569/21193-01__92947.1718384792.jpg?c=2,real-photo-found
50-2964,updated,/products/parts/50-2964.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/5478/9311/50-2956-2__73861.1493919026.jpg?c=2,real-photo-found
SE62290,skipped,,,no-real-photo
30002845,updated,/products/parts/30002845.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/3503/22106/1__08312.1521477474.jpg?c=2,real-photo-found
PL44156,skipped,,,no-real-photo
OA10232,updated,/products/parts/oa10232.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/10906/67609/OA10230-1__93583.1756148458.jpg?c=2,real-photo-found
SE17006,updated,/products/parts/se17006.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/11935/31201/SE24021B__19961.1558373592.jpg?c=2,real-photo-found
3PVP-RC,updated,/products/parts/3pvp-rc.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/4065/30528/3PVP-ADB-1__70798.1557350435.jpg?c=2,real-photo-found
1306043A,error,,,HTTP Error 404: Not Found
