sku,status,imageUrl,sourceImageUrl,reason
SRV4181-030,skipped,,,no-real-photo
W725-0068,skipped,,,no-real-photo
PR-SR2131,skipped,,,no-real-photo
W010-3216,skipped,,,no-real-photo
NGK-TRUE42,skipped,,,no-real-photo
H9114,skipped,,,no-real-photo
2285-008,skipped,,,no-real-photo
SRV569-706,skipped,,,no-real-photo
2010081,skipped,,,no-real-photo
H8288,skipped,,,no-real-photo
J3892,skipped,,,no-real-photo
SRV30003003,skipped,,,no-real-photo
J7865,skipped,,,no-real-photo
SRV4018-162,skipped,,,no-real-photo
J3947,skipped,,,no-real-photo
W325-0017,skipped,,,no-real-photo
SRV7057-007,skipped,,,no-real-photo
24815,skipped,,,no-real-photo
35596,skipped,,,no-real-photo
34515,skipped,,,no-real-photo
3-44-232086,skipped,,,no-real-photo
56D3052K,skipped,,,no-real-photo
50-2877,skipped,,,no-real-photo
198205,skipped,,,no-real-photo
2321-147,skipped,,,no-real-photo
SRV480-5500,skipped,,,no-real-photo
54D0443TK,skipped,,,no-real-photo
2081-140,skipped,,,no-real-photo
H8113,updated,/products/parts/h8113.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/1280x1280/products/19468/69170/H8113-1__46661.1776364472.jpg?c=2,downloaded
LOGS-4842,skipped,,,no-real-photo
SRV4604-024,skipped,,,no-real-photo
23201,skipped,,,no-real-photo
SRVAG20,skipped,,,no-real-photo
W750-0434,skipped,,,no-real-photo
35063,skipped,,,no-real-photo
80P53794-R,skipped,,,no-real-photo
2542-007,skipped,,,no-real-photo
4021-418,skipped,,,no-real-photo
SRV7019-014,skipped,,,no-real-photo
PL66123,skipped,,,no-real-photo
ALK-60,skipped,,,no-real-photo
H8488,skipped,,,no-real-photo
H7357,skipped,,,no-real-photo
SRV65D1053,skipped,,,no-real-photo
SE70676,skipped,,,no-real-photo
SRV81D3010,skipped,,,no-real-photo
80P30312-R,skipped,,,no-real-photo
80P20114-R,skipped,,,no-real-photo
H1463,skipped,,,no-real-photo
780-301A,skipped,,,no-real-photo
W080-0205,skipped,,,no-real-photo
SRV4181-121,skipped,,,no-real-photo
W225-0162,skipped,,,no-real-photo
SRV7046-182,skipped,,,no-real-photo
27075,error,,,HTTPError: HTTP Error 404: Not Found
J5074,skipped,,,no-real-photo
W010-2464,skipped,,,no-real-photo
PR-SR1784,skipped,,,no-real-photo
W750-0471,skipped,,,no-real-photo
52D0075K,skipped,,,no-real-photo
BPO-2-26,skipped,,,no-real-photo
7034-039,skipped,,,no-real-photo
SRV4601-015,skipped,,,no-real-photo
J4600,skipped,,,no-real-photo
W715-0916,skipped,,,no-real-photo
W090-0238,skipped,,,no-real-photo
G010-0084-SER,skipped,,,no-real-photo
2-00-773828-2P,skipped,,,no-real-photo
1-00-4041001,skipped,,,no-real-photo
20006819K,skipped,,,no-real-photo
5003-2-R,skipped,,,no-real-photo
H7195,skipped,,,no-real-photo
32D3125K,skipped,,,no-real-photo
F3691,skipped,,,no-real-photo
H8682,skipped,,,no-real-photo
SRV7037-169,skipped,,,no-real-photo
J7923,skipped,,,no-real-photo
N725-0056,skipped,,,no-real-photo
W280-0398,skipped,,,no-real-photo
2110009,skipped,,,no-real-photo
SRV2284-704,skipped,,,no-real-photo
2200282,skipped,,,no-real-photo
844-5070,skipped,,,no-real-photo
2310-139,skipped,,,no-real-photo
W200-0251-SER,skipped,,,no-real-photo
SRV4095-152,skipped,,,no-real-photo
SRV32D0507,skipped,,,no-real-photo
SE68961,skipped,,,no-real-photo
SRV7101-024,skipped,,,no-real-photo
H9120,skipped,,,no-real-photo
G105-0008-SER,skipped,,,no-real-photo
SRV7068-004,error,,,HTTPError: HTTP Error 404: Not Found
705-328A,skipped,,,no-real-photo
PL63084,skipped,,,no-real-photo
4060295,skipped,,,no-real-photo
50-2916,skipped,,,no-real-photo
J8020,skipped,,,no-real-photo
W405-0061,skipped,,,no-real-photo
VF-128,skipped,,,no-real-photo
W290-0190,skipped,,,no-real-photo
SRV2033-009,skipped,,,no-real-photo
BPA-300-35,skipped,,,no-real-photo
W655-0027,skipped,,,no-real-photo
SRV7128-040,skipped,,,no-real-photo
80P20098-BE-R,skipped,,,no-real-photo
W200-0211,skipped,,,no-real-photo
J6776,skipped,,,no-real-photo
32D0400K,skipped,,,no-real-photo
J5611,skipped,,,no-real-photo
2106-107,skipped,,,no-real-photo
4036-187,skipped,,,no-real-photo
J6833,skipped,,,no-real-photo
W500-0668,skipped,,,no-real-photo
SRV7072-112,skipped,,,no-real-photo
N325-0049,skipped,,,no-real-photo
J4824,skipped,,,no-real-photo
13230A,skipped,,,no-real-photo
34321,skipped,,,no-real-photo
SE65962,skipped,,,no-real-photo
50-3404,skipped,,,no-real-photo
W100-0161-SER,skipped,,,no-real-photo
W290-0033,skipped,,,no-real-photo
4036-121,skipped,,,no-real-photo
W335-0053,skipped,,,no-real-photo
SRV7065-005,skipped,,,no-real-photo
SRV7058-054,skipped,,,no-real-photo
80P20092-MB-R,skipped,,,no-real-photo
80P52710-R,skipped,,,no-real-photo
PL70516,skipped,,,no-real-photo
W405-0057,skipped,,,no-real-photo
30000166,skipped,,,no-real-photo
2240002,skipped,,,no-real-photo
32833,skipped,,,no-real-photo
288-175A,skipped,,,no-real-photo
ROCKS-WM58/36,skipped,,,no-real-photo
W750-0452-SER,skipped,,,no-real-photo
W135-0646,skipped,,,no-real-photo
SRV4095-344,skipped,,,no-real-photo
H1884,skipped,,,no-real-photo
2236-206,skipped,,,no-real-photo
83D1267K,skipped,,,no-real-photo
2368-004,skipped,,,no-real-photo
W225-0243,skipped,,,no-real-photo
27D8804K,skipped,,,no-real-photo
4060-012,skipped,,,no-real-photo
W445-0031,skipped,,,no-real-photo
80P30553-R,skipped,,,no-real-photo
1-00-02243,skipped,,,no-real-photo
J4129,skipped,,,no-real-photo
W080-1621,skipped,,,no-real-photo
J3960,skipped,,,no-real-photo
H1452,skipped,,,no-real-photo
7033-262,skipped,,,no-real-photo
J7846,skipped,,,no-real-photo
2090022,skipped,,,no-real-photo
SRV433-5720,skipped,,,no-real-photo
MERID42NGK,skipped,,,no-real-photo
H2353,skipped,,,no-real-photo
SRV27D8585,skipped,,,no-real-photo
LPKS-2014,skipped,,,no-real-photo
J8083,skipped,,,no-real-photo
1-00-249100,skipped,,,no-real-photo
H8983,skipped,,,no-real-photo
K2016,skipped,,,no-real-photo
W570-0071,skipped,,,no-real-photo
W350-0417,skipped,,,no-real-photo
W105-0020-SER,skipped,,,no-real-photo
4018-022,skipped,,,no-real-photo
PL56818,skipped,,,no-real-photo
SRV7044-217,skipped,,,no-real-photo
SRV569-711,skipped,,,no-real-photo
SRV4082-174,skipped,,,no-real-photo
AM-2-45,skipped,,,no-real-photo
W010-1736,skipped,,,no-real-photo
GR33,skipped,,,no-real-photo
W020-0723,skipped,,,no-real-photo
W010-3518,skipped,,,no-real-photo
W500-0446,skipped,,,no-real-photo
J4021,skipped,,,no-real-photo
J4821,skipped,,,no-real-photo
PL65913,skipped,,,no-real-photo
SRV33700,skipped,,,no-real-photo
SRV2283-713,skipped,,,no-real-photo
SRV7033-017,skipped,,,no-real-photo
SRV4087-315,skipped,,,no-real-photo
2090051,skipped,,,no-real-photo
7082-107MBK,skipped,,,no-real-photo
SRV2045-710,skipped,,,no-real-photo
W010-2859,skipped,,,no-real-photo
3090480,skipped,,,no-real-photo
MT-350-CBASS,skipped,,,no-real-photo
80P52589-R,skipped,,,no-real-photo
W335-0048,skipped,,,no-real-photo
SRV2282-720,skipped,,,no-real-photo
PR-SR2245,skipped,,,no-real-photo
2180020,skipped,,,no-real-photo
BPA-700-18SS,skipped,,,no-real-photo
