priority_rank,priority_tier,priority_score,category_file,sku,brand,normalized_brand,model_guess,name,slug,current_image_path_url,current_local_image_exists,is_best_seller,rating,review_count,sale_price
1,A,230.5,data/gas-fireplaces-scraped.json,SUP-DRL2055TEN,Superior,Superior,DRL2055TEN,Superior 55 Inch DRL2000 Direct Vent Linear Gas Fireplace - IPI,sup-drl2055ten,/products/gas-fireplaces/sup-drl2055ten-bce6f567.webp,yes,True,4.8,4,3849.0
2,A,228.0,data/gas-fireplaces-scraped.json,CUI-DVD36FP30N,Empire,Empire,DVD36FP30N,Empire 36 Inch Tahoe Deluxe Direct Vent Fireplace - Millivolt,cui-dvd36fp30n,/products/gas-fireplaces/cui-dvd36fp30n-200545f1.webp,yes,True,4.8,13,1799.0
3,A,224.0,data/gas-fireplaces-scraped.json,SUP-DRL2045TEN,Superior,Superior,DRL2045TEN,Superior 45 Inch DRL2000 Series Contemporary Direct Vent Linear Fireplace,sup-drl2045ten,/products/gas-fireplaces/sup-drl2045ten-bce6f567.webp,yes,True,4.8,4,3199.0
4,A,218.0,data/gas-fireplaces-scraped.json,KGM-OFP7972S1P2,Kingsman,Kingsman,OFP7972S1P2,Kingsman 72 Inch Barbara Jean Linear Outdoor Natural Gas Fireplace - IPI,kgm-ofp7972s1p2,/products/gas-fireplaces/kgm-ofp7972s1p2-bd3f0285.webp,yes,False,5.0,9,6718.39
5,A,216.0,data/gas-fireplaces-scraped.json,EMP-VFLB60SP90N,Empire,Empire,VFLB60SP90N,Empire 60 Inch Boulevard Linear See-Through Vent Free Gas Fireplace - Intermittent Pilot,emp-vflb60sp90n,/products/gas-fireplaces/emp-vflb60sp90n-a28875df.webp,yes,False,5.0,8,6109.0
6,A,215.5,data/gas-fireplaces-scraped.json,SUP-ODLVF72ZEN,Superior,Superior,ODLVF72ZEN,Superior VRE4672 Series 72 Inch Outdoor Vent Free Linear Gas Fireplace,sup-odlvf72zen,/products/gas-fireplaces/sup-odlvf72zen-fbe3b153.webp,yes,False,4.9,8,8669.0
7,A,212.0,data/gas-fireplaces-scraped.json,ODL-ODLANAIGST-48,Outdoor,Outdoor Lifestyles,ODLANAIGST-48,Outdoor Lifestyles 48 Inch Lanai See-Through Linear Outdoor Gas Fireplace - IntelliFire IPI,odl-odlanaigst-48,/products/gas-fireplaces/odl-odlanaigst-48-2e8775cb.webp,yes,False,4.6,7,5139.0
8,A,210.0,data/gas-fireplaces-scraped.json,CUI-OLL60FP12SN,Empire,Empire,OLL60FP12SN,Empire OLL60FP12SN Carol Rose Outdoor Stainless Steel Linear Fireplace,cui-oll60fp12sn,/products/gas-fireplaces/cui-oll60fp12sn-ce595907.webp,yes,False,5.0,5,5545.0
9,A,210.0,data/gas-fireplaces-scraped.json,EMP-VFLB72FP90N,Empire,Empire,VFLB72FP90N,Empire 72 Inch Boulevard Linear Vent Free Gas Fireplace - Intermittent Pilot,emp-vflb72fp90n,/products/gas-fireplaces/emp-vflb72fp90n-a4c37e93.webp,yes,False,5.0,5,7069.0
10,A,209.9,data/gas-fireplaces-scraped.json,NPL-RSS42NE,Napoleon,Napoleon,RSS42NE,Napoleon 42 Inch RSS42NE Riverside Clean Face Outdoor Vent Free Gas Fireplace,npl-rss42ne,/products/gas-fireplaces/npl-rss42ne-577eb19a.webp,yes,False,5.0,11,3789.0
11,A,209.0,data/gas-fireplaces-scraped.json,SUP-DRL3555TEN,Superior,Superior,DRL3555TEN,Superior 55 Inch DRL3500 Series Contemporary Linear Direct Vent Natural Gas Fireplace,sup-drl3555ten,/products/gas-fireplaces/sup-drl3555ten-e282025e.webp,yes,False,4.8,5,5119.0
12,A,209.0,data/gas-fireplaces-scraped.json,SUP-DRL3555TEP,Superior,Superior,DRL3555TEP,Superior 55 Inch DRL3500 Series Contemporary Linear Direct Vent Propane Fireplace,sup-drl3555tep,/products/gas-fireplaces/sup-drl3555tep-9a9422e5.webp,yes,False,4.8,5,5119.0
13,A,208.0,data/gas-fireplaces-scraped.json,FGO-OFP-60LECO-N,Firegear,Firegear,OFP-60LECO-N,Firegear 60 Inch Kalea Bay Outdoor Linear Fireplace,fgo-ofp-60leco-n,/products/gas-fireplaces/fgo-ofp-60leco-n-abc899ee.webp,yes,False,5.0,4,5149.0
14,A,208.0,data/gas-fireplaces-scraped.json,FGO-OFP-60LECO-NST,Firegear,Firegear,OFP-60LECO-NST,Firegear 60 Inch Kalea Bay See-Through Outdoor Linear Fireplace,fgo-ofp-60leco-nst,/products/gas-fireplaces/fgo-ofp-60leco-nst-abc899ee.webp,yes,False,5.0,4,5728.0
15,A,206.0,data/gas-fireplaces-scraped.json,SUP-DRL4072TEN,Superior,Superior,DRL4072TEN,Superior 72 Inch DRL4000 Linear Direct Vent Gas Fireplace - IPI Ignition,sup-drl4072ten,/products/gas-fireplaces/sup-drl4072ten-b119065c.webp,yes,False,5.0,3,9989.0
16,A,206.0,data/gas-fireplaces-scraped.json,MAJ-MER42PN,Majestic,Majestic,MER42PN,Majestic 42 Inch Meridian Platinum Gas Direct Vent Fireplace,maj-mer42pn,/products/gas-fireplaces/maj-mer42pn-7524eacc.webp,yes,False,5.0,3,5629.0
17,A,206.0,data/gas-fireplaces-scraped.json,NPL-TLV62N,Napoleon,Napoleon,TLV62N,Napoleon 62 Inch Vector Tall Direct Vent Linear Gas Fireplace,npl-tlv62n,/products/gas-fireplaces/npl-tlv62n-64bc1861.webp,yes,False,5.0,3,11489.0
