sku,brand,name,categoryFile,productUrl,sourceImageUrl,imageUrl
FPX-LARGEFLUSHWOODARCHEDNEXGENHYBRID,FireplaceX,FireplaceX Large Flush Wood Arched NexGen Hybrid™,wood-fireplaces-scraped.json,https://www.fireplacex.com/product/large-flush-wood-arched-nexgen-hybrid/,https://www.fireplacex.com/wp-content/uploads/LrgFlushWood_ClassicArchBP.jpg,/products-upgraded/wood-fireplaces/fpx-largeflushwoodarchednexgenhybrid.webp
FPX-LARGEFLUSHWOODRECTANGULARNEXGENHYBRID,FireplaceX,FireplaceX Large Flush Wood Rectangular NexGen Hybrid™,wood-fireplaces-scraped.json,https://www.fireplacex.com/product/large-flush-wood-rectangular-nexgen-hybrid/,https://www.fireplacex.com/wp-content/uploads/LrgFlushWood_Shadowbox.jpg,/products-upgraded/wood-fireplaces/fpx-largeflushwoodrectangularnexgenhybrid.webp
FPX-MEDIUMFLUSHWOODRECTANGULARNEXGENHYBRID,FireplaceX,FireplaceX Medium Flush Wood Rectangular NexGen Hybrid™,wood-fireplaces-scraped.json,https://www.fireplacex.com/product/medium-flush-wood-rectangular-nexgen-hybrid/,https://www.fireplacex.com/wp-content/uploads/MdFlushWood_Metropolitan.jpg,/products-upgraded/wood-fireplaces/fpx-mediumflushwoodrectangularnexgenhybrid.webp
FPX-MEDIUMFLUSHWOODARCHEDNEXGENHYBRID,FireplaceX,FireplaceX Medium Flush Wood Arched NexGen Hybrid™,wood-fireplaces-scraped.json,https://www.fireplacex.com/product/medium-flush-wood-arched-nexgen-hybrid/,https://www.fireplacex.com/wp-content/uploads/MdFlushWood_ClassicArchBP.jpg,/products-upgraded/wood-fireplaces/fpx-mediumflushwoodarchednexgenhybrid.webp
FPX-44ELITENEXGENHYBRID,FireplaceX,FireplaceX 44 Elite NexGen Hybrid™,wood-fireplaces-scraped.json,https://www.fireplacex.com/product/44-elite-nexgen-hybrid/,https://www.fireplacex.com/wp-content/uploads/44E_CA_BP.jpg,/products-upgraded/wood-fireplaces/fpx-44elitenexgenhybrid.webp
FPX-36ELITENEXGENHYBRID,FireplaceX,FireplaceX 36 Elite NexGen Hybrid™,wood-fireplaces-scraped.json,https://www.fireplacex.com/product/36-elite-nexgen-hybrid/,https://www.fireplacex.com/wp-content/uploads/36E_CASINGD_BP2020.jpg,/products-upgraded/wood-fireplaces/fpx-36elitenexgenhybrid.webp
FPX-42APEX,FireplaceX,FireplaceX 42 Apex,wood-fireplaces-scraped.json,https://www.fireplacex.com/product/42-apex/,https://www.fireplacex.com/wp-content/uploads/42Apex_TimberlineCharP.jpg,/products-upgraded/wood-fireplaces/fpx-42apex.webp
FPX-PROBUILDER36CLEANFACEDELUXE,FireplaceX,FireplaceX Probuilder 36 Clean Face Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/probuilder-36-clean-face-deluxe/,https://www.fireplacex.com/wp-content/uploads/36PBDLX_Unit.jpg,/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacedeluxe.webp
FPX-PROBUILDER36CLEANFACEBASICMV,FireplaceX,FireplaceX Probuilder 36 Clean Face Basic MV,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/probuilder-36-clean-face-basic-mv/,https://www.fireplacex.com/wp-content/uploads/36PBMVGSB_Unit.jpg,/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicmv.webp
FPX-PROBUILDER36CLEANFACEBASICGSB,FireplaceX,FireplaceX Probuilder 36 Clean Face Basic GSB,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/probuilder-36-clean-face-basic-gsb/,https://www.fireplacex.com/wp-content/uploads/36PBMVGSB_Unit.jpg,/products-upgraded/gas-fireplaces/fpx-probuilder36cleanfacebasicgsb.webp
FPX-4415HIGHOUTPUTDELUXE,FireplaceX,FireplaceX 4415 High Output Deluxe,gas-fireplaces-scraped.json,https://www.fireplacex.com/product/4415-high-output-deluxe/,https://www.fireplacex.com/wp-content/uploads/4415Trim_NoTrimKit.jpg,/products-upgraded/gas-fireplaces/fpx-4415highoutputdeluxe.webp
